id,sheet_id
0,0
1,4
2,4
3,6
4,6
5,3
6,2
7,0
8,1
9,0
10,6
11,4
12,-1
13,-1
14,8
15,3
16,0
17,8
18,6
19,1
20,2
21,2
22,0
23,0
24,-1
25,0
26,-1
27,3
28,-1
29,3
30,2
31,-1
32,-1
33,-1
34,0
35,0
36,0
37,-1
38,-1
39,0
40,0
41,1
42,7
43,4
44,3
45,7
46,-1
47,-1
48,-1
49,3
50,5
51,2
52,-1
53,0
54,3
55,2
56,-1
57,0
58,0
59,-1
60,3
61,6
62,1
63,0
64,0
65,-1
66,-1
67,8
68,0
69,-1
70,1
71,0
72,0
73,0
74,0
75,8
76,2
77,-1
78,0
79,0
80,0
81,0
82,-1
83,-1
84,-1
85,0
86,0
87,6
88,4
89,2
90,-1
91,-1
92,-1
93,0
94,-1
95,6
96,-1
97,-1
98,-1
99,0
100,-1
101,0
102,18
103,2
104,0
105,5
106,5
107,0
108,0
109,6
110,1
111,0
112,8
113,6
114,0
115,0
116,0
117,7
118,4
119,1
120,0
121,0
122,5
123,10
124,13
125,12
126,0
127,7
128,1
129,0
